Ngày,Lần cuối,Mở,Cao,Thấp,KL,
1/12/2022,"17,022.00","17,182.00","18,373.00","16,720.00",29.21K,
1/11/2022,"17,182.00","20,509.00","21,470.00","15,501.00",127.45K,
1/10/2022,"20,509.00","19,430.00","21,074.00","18,200.00",100.51K,
1/9/2022,"19,430.00","20,058.00","22,746.00","18,214.00",302.66K,
1/8/2022,"20,058.00","23,294.00","25,203.00","19,540.00",145.16K,
1/7/2022,"23,294.00","19,938.00","24,641.00","18,774.00",167.25K,
1/6/2022,"19,938.00","31,792.00","31,974.00","17,611.00",238.61K,
1/5/2022,"31,792.00","37,662.00","39,996.00","26,600.00",218.80K,
1/4/2022,"37,662.00","45,535.00","47,414.00","37,633.00",106.58K,
1/3/2022,"45,535.00","43,202.00","48,159.00","37,198.00",142.89K,
1/2/2022,"43,202.00","38,495.00","45,851.00","34,435.00",149.12K,
1/1/2022,"38,526.00","46,218.00","47,980.00","32,981.00",190.49K,
1/12/2021,"46,218.00","56,938.00","59,055.00","42,101.00",170.53K,
1/11/2021,"56,938.00","61,330.00","68,925.00","53,482.00",169.14K,
1/10/2021,"61,330.00","43,830.00","66,927.00","43,311.00",182.94K,
1/9/2021,"43,830.00","47,157.00","52,888.00","39,678.00",177.13K,
1/8/2021,"47,157.00","41,409.00","50,506.30","37,361.00",174.28K,
1/7/2021,"41,409.00","35,043.50","42,317.00","29,341.00",217.92K,
1/6/2021,"35,043.50","37,305.00","40,732.00","29,927.00",352.27K,
1/5/2021,"37,305.00","57,634.70","59,454.30","32,623.00",430.70K,
1/4/2021,"57,637.00","58,796.00","64,374.00","48,409.80",251.62K,
1/3/2021,"58,796.00","45,300.00","61,468.00","45,300.00",267.80K,
1/2/2021,"45,300.00","33,141.00","58,238.00","32,595.00",321.22K,
1/1/2021,"33,141.00","28,933.00","41,616.00","28,932.00",479.93K,
